"Claim_ID","Claim_type","Wave","Earlier_wave","Later_wave","Metric","A1_match","A2_match_proportion","A3_match_proportion","Minimum_match","Final_status","Interpretation"
"EDGE_2004_VCF0809_VCF0894","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0809_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0838_VCF0839","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0838_VCF0879a","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0838_VCF0888","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0838_VCF0890","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0838_VCF0894","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0838_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0839_VCF0879a","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0839_VCF0888","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0839_VCF0890","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0839_VCF0894","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0839_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0879a_VCF0888","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0879a_VCF0890","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0879a_VCF0894","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0879a_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0888_VCF0890","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0888_VCF0894","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0888_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,1,0,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0890_VCF0894","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0890_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2004_VCF0894_VCF9223","EDGE_SIGN_AND_RETENTION",2004,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0806_VCF0809","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0806_VCF0838","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.978,0.978,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0806_VCF0839","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0806_VCF0879a","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.8,0.179,0.179,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0806_VCF0888","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.217,0.057,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0806_VCF0890","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.91,0.415,0.415,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0806_VCF0894","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.999,0.96,0.96,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0806_VCF9223","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.584,0.054,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0809_VCF0838","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.814,0.987,0.814,"MIXED","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0809_VCF0839","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.994,0.994,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0809_VCF0879a","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.192,0.033,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0809_VCF0888","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.756,0.151,0.151,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0809_VCF0890","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.991,0.658,0.658,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0809_VCF0894","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.998,0.953,0.953,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0809_VCF9223","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.258,0.03,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0838_VCF0839","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.665,0.965,0.665,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0838_VCF0879a","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.644,0.985,0.644,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0838_VCF0888","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.925,0.558,0.558,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0838_VCF0890","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.999,0.963,0.963,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0838_VCF0894","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.284,0.142,0.142,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0838_VCF9223","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.656,0.656,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0839_VCF0879a","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.584,0.108,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0839_VCF0888","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.569,0.127,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0839_VCF0890","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0839_VCF0894","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0839_VCF9223","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.582,0.119,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0879a_VCF0888","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.993,0.707,0.707,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0879a_VCF0890","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.257,0.132,0.132,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0879a_VCF0894","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.997,0.939,0.939,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0879a_VCF9223","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0888_VCF0890","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0888_VCF0894","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.741,0.954,0.741,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0888_VCF9223","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.904,0.312,0.312,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0890_VCF0894","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.999,0.961,0.961,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0890_VCF9223","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.481,0.173,0.173,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2012_VCF0894_VCF9223","EDGE_SIGN_AND_RETENTION",2012,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.115,0.056,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0806_VCF0809","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0806_VCF0838","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.999,0.999,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0806_VCF0839","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.999,0.999,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0806_VCF0879a","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.936,0.405,0.405,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0806_VCF0888","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.936,0.469,0.469,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0806_VCF0890","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.924,0.37,0.37,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0806_VCF0894","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.999,0.921,0.921,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0806_VCF9223","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.693,0.091,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0809_VCF0838","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.643,0.248,0.248,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0809_VCF0839","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0809_VCF0879a","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.621,0.973,0.621,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0809_VCF0888","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.691,0.992,0.691,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0809_VCF0890","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.879,0.319,0.319,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0809_VCF0894","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.998,0.998,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0809_VCF9223","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.776,0.992,0.776,"MIXED","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0838_VCF0839","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.897,0.387,0.387,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0838_VCF0879a","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.648,0.07,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0838_VCF0888","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.983,0.481,0.481,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0838_VCF0890","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.991,0.67,0.67,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0838_VCF0894","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.752,0.176,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0838_VCF9223","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.899,0.899,"MIXED","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0839_VCF0879a","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.563,0.962,0.563,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0839_VCF0888","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.452,0.096,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0839_VCF0890","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0839_VCF0894","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0839_VCF9223","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.553,0.075,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0879a_VCF0888","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.974,0.512,0.512,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0879a_VCF0890","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",FALSE,0.553,0.096,0,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0879a_VCF0894","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.999,0.999,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0879a_VCF9223","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,1,1,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0888_VCF0890","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,1,0.983,0.983,"ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0888_VCF0894","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.791,0.378,0.378,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0888_VCF9223","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.998,0.687,0.687,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0890_VCF0894","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.991,0.825,0.825,"MIXED","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
"EDGE_2016_VCF0890_VCF9223","EDGE_SIGN_AND_RETENTION",2016,,,"EDGE_WEIGHT_AND_RETENTION",TRUE,0.964,0.521,0.521,"NOT_ROBUST","MECHANICAL_EDGE_STATE_AUDIT_NOT_SIGNIFICANCE"
