year,variable_name,measurement_status,source_variable,short_label,full_question_wording,response_scale,number_categories,original_codes,asked_this_year,valid_n,structural_missing,wording_change,scale_change,coding_change,survey_mode,category_sparsity,cross_wave_comparability,official_codebook_source,codebook_evidence,notes_final,attitude_domain,substantive_direction,respondent_missing_n,comparability_problem,notes
2020,VCF0809,ACCEPTABLE WITH SENSITIVITY,V201255,Guaranteed jobs and income scale,"that every person has a job and a good standard of living. (1972- 1978,1996-LATER: Suppose these people are at one end of a scale, at point 1). Others think the government should just let each person get ahead on his/their own. (1972-1978,1996: Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at pints 2,3,4,5 or 6.) 344 VARIABLE DESCRIPTION Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Government let each person get ahead on his own 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,7322,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1048; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347); asked_this_year=Yes; valid_n=7322; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",jobs/income,1=Government guarantee to 7=individual advancement,958,2008 split; 2000 telephone,"Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2024,VCF0809,ACCEPTABLE WITH SENSITIVITY,V241252,Guaranteed jobs and income scale,"that every person has a job and a good standard of living. (1972- 1978,1996-LATER: Suppose these people are at one end of a scale, at point 1). Others think the government should just let each person get ahead on his/their own. (1972-1978,1996: Suppose these people are at the other end, at point 7. And, of course, some other people have opinions somewhere in between, at pints 2,3,4,5 or 6.) 344 VARIABLE DESCRIPTION Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",2. 3. 4. 5. 6. 7. Government let each person get ahead on his own 9. DK; haven’t thought much about it,7,1;2;3;4;5;6;7,Yes,4742,NO,2008 split; 2000 telephone,2008 split; 2000 telephone,2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0972; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 347); asked_this_year=Yes; valid_n=4742; structural_missing=NO; wording_change=2008 split; 2000 telephone; scale_change=2008 split; 2000 telephone; coding_change=2008 split; 2000 telephone; form/mode note=Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=-1,0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",jobs/income,1=Government guarantee to 7=individual advancement,534,2008 split; 2000 telephone,"Codebook source years=1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=-1,0,1,2,3,4,5,6,7,9"
2004,VCF0838,ACCEPTABLE WITH SENSITIVITY,V045132,"By law, when should abortion be allowed",There has been some discussion about abortion during recent years. (RESPONDENT BOOKLET) Which one of the opinions on this page best agrees with your view? You can just tell me the number of the opinion you choose. 2000 TELEPHONE: I am going to read you a short list of opinions. Please tell me which 360 VARIABLE DESCRIPTION one of the opinions best agrees with your view. You can just tell me the number of the opinion you choose.,"2. The law should permit abortion only in case of rape, incest, or when the woman’s life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the woman’s life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice. 9. DK; other",4,1;2;3;4,Yes,1047,NO,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1328; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363); asked_this_year=Yes; valid_n=1047; structural_missing=NO; wording_change=1980 alternate; 2008 split; 2016 web note; scale_change=1980 alternate; 2008 split; 2016 web note; coding_change=1980 alternate; 2008 split; 2016 web note; form/mode note=Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",abortion,1=Never to 4=Always personal choice,165,1980 alternate; 2008 split; 2016 web note,"Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9"
2008,VCF0838,QUESTIONABLE,V085086,"By law, when should abortion be allowed",There has been some discussion about abortion during recent years. (RESPONDENT BOOKLET) Which one of the opinions on this page best agrees with your view? You can just tell me the number of the opinion you choose. 2000 TELEPHONE: I am going to read you a short list of opinions. Please tell me which 360 VARIABLE DESCRIPTION one of the opinions best agrees with your view. You can just tell me the number of the opinion you choose.,"2. The law should permit abortion only in case of rape, incest, or when the woman’s life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the woman’s life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice. 9. DK; other",4,1;2;3;4,Yes,1031,NO,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1552; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363); asked_this_year=Yes; valid_n=1031; structural_missing=NO; wording_change=1980 alternate; 2008 split; 2016 web note; scale_change=1980 alternate; 2008 split; 2016 web note; coding_change=1980 alternate; 2008 split; 2016 web note; form/mode note=Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9",2008 random OLD/NEW split-form assignment is recorded in the official codebook audit; primary comparison requires restricted-form sensitivity or exclusion.,abortion,1=Never to 4=Always personal choice,1291,1980 alternate; 2008 split; 2016 web note,"Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9"
2012,VCF0838,ACCEPTABLE WITH SENSITIVITY,abortpre_4point,"By law, when should abortion be allowed",There has been some discussion about abortion during recent years. (RESPONDENT BOOKLET) Which one of the opinions on this page best agrees with your view? You can just tell me the number of the opinion you choose. 2000 TELEPHONE: I am going to read you a short list of opinions. Please tell me which 360 VARIABLE DESCRIPTION one of the opinions best agrees with your view. You can just tell me the number of the opinion you choose.,"2. The law should permit abortion only in case of rape, incest, or when the woman’s life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the woman’s life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice. 9. DK; other",4,1;2;3;4,Yes,5855,NO,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1148; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363); asked_this_year=Yes; valid_n=5855; structural_missing=NO; wording_change=1980 alternate; 2008 split; 2016 web note; scale_change=1980 alternate; 2008 split; 2016 web note; coding_change=1980 alternate; 2008 split; 2016 web note; form/mode note=Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",abortion,1=Never to 4=Always personal choice,59,1980 alternate; 2008 split; 2016 web note,"Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9"
2016,VCF0838,ACCEPTABLE WITH SENSITIVITY,V161232,"By law, when should abortion be allowed",There has been some discussion about abortion during recent years. (RESPONDENT BOOKLET) Which one of the opinions on this page best agrees with your view? You can just tell me the number of the opinion you choose. 2000 TELEPHONE: I am going to read you a short list of opinions. Please tell me which 360 VARIABLE DESCRIPTION one of the opinions best agrees with your view. You can just tell me the number of the opinion you choose.,"2. The law should permit abortion only in case of rape, incest, or when the woman’s life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the woman’s life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice. 9. DK; other",4,1;2;3;4,Yes,4207,NO,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1293; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363); asked_this_year=Yes; valid_n=4207; structural_missing=NO; wording_change=1980 alternate; 2008 split; 2016 web note; scale_change=1980 alternate; 2008 split; 2016 web note; coding_change=1980 alternate; 2008 split; 2016 web note; form/mode note=Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",abortion,1=Never to 4=Always personal choice,63,1980 alternate; 2008 split; 2016 web note,"Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9"
2020,VCF0838,ACCEPTABLE WITH SENSITIVITY,V201336,"By law, when should abortion be allowed",There has been some discussion about abortion during recent years. (RESPONDENT BOOKLET) Which one of the opinions on this page best agrees with your view? You can just tell me the number of the opinion you choose. 2000 TELEPHONE: I am going to read you a short list of opinions. Please tell me which 360 VARIABLE DESCRIPTION one of the opinions best agrees with your view. You can just tell me the number of the opinion you choose.,"2. The law should permit abortion only in case of rape, incest, or when the woman’s life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the woman’s life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice. 9. DK; other",4,1;2;3;4,Yes,7900,NO,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.1101; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363); asked_this_year=Yes; valid_n=7900; structural_missing=NO; wording_change=1980 alternate; 2008 split; 2016 web note; scale_change=1980 alternate; 2008 split; 2016 web note; coding_change=1980 alternate; 2008 split; 2016 web note; form/mode note=Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",abortion,1=Never to 4=Always personal choice,380,1980 alternate; 2008 split; 2016 web note,"Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9"
2024,VCF0838,ACCEPTABLE WITH SENSITIVITY,V241302,"By law, when should abortion be allowed",There has been some discussion about abortion during recent years. (RESPONDENT BOOKLET) Which one of the opinions on this page best agrees with your view? You can just tell me the number of the opinion you choose. 2000 TELEPHONE: I am going to read you a short list of opinions. Please tell me which 360 VARIABLE DESCRIPTION one of the opinions best agrees with your view. You can just tell me the number of the opinion you choose.,"2. The law should permit abortion only in case of rape, incest, or when the woman’s life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the woman’s life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice. 9. DK; other",4,1;2;3;4,Yes,5021,NO,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,1980 alternate; 2008 split; 2016 web note,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0584; CATEGORIES=1,2,3,4",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 363); asked_this_year=Yes; valid_n=5021; structural_missing=NO; wording_change=1980 alternate; 2008 split; 2016 web note; scale_change=1980 alternate; 2008 split; 2016 web note; coding_change=1980 alternate; 2008 split; 2016 web note; form/mode note=Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",abortion,1=Never to 4=Always personal choice,500,1980 alternate; 2008 split; 2016 web note,"Codebook source years=1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,9"
2004,VCF0839,ACCEPTABLE WITH SENSITIVITY,V043136,Government services-spending scale,"in areas such as health and education, in order to reduce spending. (2004: Suppose these people are at one end of a scale, at point 1.) Other people feel that it is important for the government to provide many more services even if it means an increase in spending. (2004: Suppose these people are at the other end, at point 7. And of course, some other people have opinions somewhere in between, at points 2,3,4,5, or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",spending a lot 2. 3. 4. 5. 6. 7. Government should provide many more services: increase spending a lot 9. DK; haven’t thought much about it 361,7,1;2;3;4;5;6;7,Yes,1060,NO,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0472; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364); asked_this_year=Yes; valid_n=1060; structural_missing=NO; wording_change=1980 not comparable; 2008 split; 2000 telephone; scale_change=1980 not comparable; 2008 split; 2000 telephone; coding_change=1980 not comparable; 2008 split; 2000 telephone; form/mode note=Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government role/services,1=Fewer services to 7=More services,152,1980 not comparable; 2008 split; 2000 telephone,"Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=1,2,3,4,5,6,7,9"
2008,VCF0839,QUESTIONABLE,V083105,Government services-spending scale,"in areas such as health and education, in order to reduce spending. (2004: Suppose these people are at one end of a scale, at point 1.) Other people feel that it is important for the government to provide many more services even if it means an increase in spending. (2004: Suppose these people are at the other end, at point 7. And of course, some other people have opinions somewhere in between, at points 2,3,4,5, or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",spending a lot 2. 3. 4. 5. 6. 7. Government should provide many more services: increase spending a lot 9. DK; haven’t thought much about it 361,7,1;2;3;4;5;6;7,Yes,953,NO,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0556; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364); asked_this_year=Yes; valid_n=953; structural_missing=NO; wording_change=1980 not comparable; 2008 split; 2000 telephone; scale_change=1980 not comparable; 2008 split; 2000 telephone; coding_change=1980 not comparable; 2008 split; 2000 telephone; form/mode note=Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9",2008 random OLD/NEW split-form assignment is recorded in the official codebook audit; primary comparison requires restricted-form sensitivity or exclusion.,government role/services,1=Fewer services to 7=More services,1369,1980 not comparable; 2008 split; 2000 telephone,"Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2012,VCF0839,ACCEPTABLE WITH SENSITIVITY,spsrvpr_ssself,Government services-spending scale,"in areas such as health and education, in order to reduce spending. (2004: Suppose these people are at one end of a scale, at point 1.) Other people feel that it is important for the government to provide many more services even if it means an increase in spending. (2004: Suppose these people are at the other end, at point 7. And of course, some other people have opinions somewhere in between, at points 2,3,4,5, or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",spending a lot 2. 3. 4. 5. 6. 7. Government should provide many more services: increase spending a lot 9. DK; haven’t thought much about it 361,7,1;2;3;4;5;6;7,Yes,5241,NO,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0744; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364); asked_this_year=Yes; valid_n=5241; structural_missing=NO; wording_change=1980 not comparable; 2008 split; 2000 telephone; scale_change=1980 not comparable; 2008 split; 2000 telephone; coding_change=1980 not comparable; 2008 split; 2000 telephone; form/mode note=Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government role/services,1=Fewer services to 7=More services,673,1980 not comparable; 2008 split; 2000 telephone,"Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2016,VCF0839,ACCEPTABLE WITH SENSITIVITY,V161178,Government services-spending scale,"in areas such as health and education, in order to reduce spending. (2004: Suppose these people are at one end of a scale, at point 1.) Other people feel that it is important for the government to provide many more services even if it means an increase in spending. (2004: Suppose these people are at the other end, at point 7. And of course, some other people have opinions somewhere in between, at points 2,3,4,5, or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",spending a lot 2. 3. 4. 5. 6. 7. Government should provide many more services: increase spending a lot 9. DK; haven’t thought much about it 361,7,1;2;3;4;5;6;7,Yes,3627,NO,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0813; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364); asked_this_year=Yes; valid_n=3627; structural_missing=NO; wording_change=1980 not comparable; 2008 split; 2000 telephone; scale_change=1980 not comparable; 2008 split; 2000 telephone; coding_change=1980 not comparable; 2008 split; 2000 telephone; form/mode note=Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government role/services,1=Fewer services to 7=More services,643,1980 not comparable; 2008 split; 2000 telephone,"Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2020,VCF0839,ACCEPTABLE WITH SENSITIVITY,V201246,Government services-spending scale,"in areas such as health and education, in order to reduce spending. (2004: Suppose these people are at one end of a scale, at point 1.) Other people feel that it is important for the government to provide many more services even if it means an increase in spending. (2004: Suppose these people are at the other end, at point 7. And of course, some other people have opinions somewhere in between, at points 2,3,4,5, or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",spending a lot 2. 3. 4. 5. 6. 7. Government should provide many more services: increase spending a lot 9. DK; haven’t thought much about it 361,7,1;2;3;4;5;6;7,Yes,7067,NO,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0709; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364); asked_this_year=Yes; valid_n=7067; structural_missing=NO; wording_change=1980 not comparable; 2008 split; 2000 telephone; scale_change=1980 not comparable; 2008 split; 2000 telephone; coding_change=1980 not comparable; 2008 split; 2000 telephone; form/mode note=Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government role/services,1=Fewer services to 7=More services,1213,1980 not comparable; 2008 split; 2000 telephone,"Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
2024,VCF0839,ACCEPTABLE WITH SENSITIVITY,V241239,Government services-spending scale,"in areas such as health and education, in order to reduce spending. (2004: Suppose these people are at one end of a scale, at point 1.) Other people feel that it is important for the government to provide many more services even if it means an increase in spending. (2004: Suppose these people are at the other end, at point 7. And of course, some other people have opinions somewhere in between, at points 2,3,4,5, or 6.) Where would you place yourself on this scale, or haven’t you thought much about this? (7-POINT SCALE SHOWN TO R)",spending a lot 2. 3. 4. 5. 6. 7. Government should provide many more services: increase spending a lot 9. DK; haven’t thought much about it 361,7,1;2;3;4;5;6;7,Yes,4751,NO,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,1980 not comparable; 2008 split; 2000 telephone,See item-specific Cumulative Codebook notes; do not infer a common mode.,"MIN_VALID_PROP=0.0735; CATEGORIES=1,2,3,4,5,6,7",MODERATE,D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364),"ANES CODEBOOK EVIDENCE: D:\ANES_Dissertation_Data\documentation\anes_timeseries_cdf_codebook_var_20260205.pdf (PDF page 364); asked_this_year=Yes; valid_n=4751; structural_missing=NO; wording_change=1980 not comparable; 2008 split; 2000 telephone; scale_change=1980 not comparable; 2008 split; 2000 telephone; coding_change=1980 not comparable; 2008 split; 2000 telephone; form/mode note=Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9","Substantive scale exists, but the cumulative codebook records wording/presentation/mode or battery changes; retain only with explicit harmonisation and sensitivity documentation.",government role/services,1=Fewer services to 7=More services,770,1980 not comparable; 2008 split; 2000 telephone,"Codebook source years=1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2004,2008,2012,2016,2020,2024; observed raw categories=0,1,2,3,4,5,6,7,9"
