year,sample,variable_1,variable_2,n,cells,zero_cells,minimum_positive_cell,cells_below_5,sparse_contingency_warning
2008,no_college,VCF0806,VCF0890,542,21,0,1,5,CELLS BELOW 5
2008,no_college,VCF0806,VCF0894,542,21,0,7,0,NONE
2008,no_college,VCF0806,VCF0879a,542,21,0,2,2,CELLS BELOW 5
2008,no_college,VCF0806,VCF9223,542,28,0,3,1,CELLS BELOW 5
2008,no_college,VCF0809,VCF0838,542,28,0,3,2,CELLS BELOW 5
2008,no_college,VCF0809,VCF0839,542,49,2,1,13,ZERO CELLS
2008,no_college,VCF0809,VCF0888,542,21,0,1,6,CELLS BELOW 5
2008,no_college,VCF0809,VCF0890,542,21,1,2,6,ZERO CELLS
2008,no_college,VCF0809,VCF0894,542,21,0,6,0,NONE
2008,no_college,VCF0809,VCF0879a,542,21,0,7,0,NONE
2008,no_college,VCF0809,VCF9223,542,28,0,6,0,NONE
2008,no_college,VCF0838,VCF0839,542,28,0,1,2,CELLS BELOW 5
2008,no_college,VCF0838,VCF0888,542,12,0,3,2,CELLS BELOW 5
2008,no_college,VCF0838,VCF0890,542,12,0,3,2,CELLS BELOW 5
2008,no_college,VCF0838,VCF0894,542,12,0,20,0,NONE
2008,no_college,VCF0838,VCF0879a,542,12,0,11,0,NONE
2008,no_college,VCF0838,VCF9223,542,16,0,11,0,NONE
2008,no_college,VCF0839,VCF0888,542,21,1,1,5,ZERO CELLS
2008,no_college,VCF0839,VCF0890,542,21,1,2,5,ZERO CELLS
2008,no_college,VCF0839,VCF0894,542,21,0,2,2,CELLS BELOW 5
2008,no_college,VCF0839,VCF0879a,542,21,0,2,2,CELLS BELOW 5
2008,no_college,VCF0839,VCF9223,542,28,0,5,0,NONE
2008,no_college,VCF0888,VCF0890,542,9,0,1,1,CELLS BELOW 5
2008,no_college,VCF0888,VCF0894,542,9,0,4,1,CELLS BELOW 5
2008,no_college,VCF0888,VCF0879a,542,9,0,4,1,CELLS BELOW 5
2008,no_college,VCF0888,VCF9223,542,12,0,5,0,NONE
2008,no_college,VCF0890,VCF0894,542,9,0,2,1,CELLS BELOW 5
2008,no_college,VCF0890,VCF0879a,542,9,0,6,0,NONE
2008,no_college,VCF0890,VCF9223,542,12,0,4,1,CELLS BELOW 5
2008,no_college,VCF0894,VCF0879a,542,9,0,19,0,NONE
2008,no_college,VCF0894,VCF9223,542,12,0,20,0,NONE
2008,no_college,VCF0879a,VCF9223,542,12,0,12,0,NONE
2008,college_plus,VCF0806,VCF0809,179,49,8,1,31,ZERO CELLS
2008,college_plus,VCF0806,VCF0838,179,28,2,1,12,ZERO CELLS
2008,college_plus,VCF0806,VCF0839,179,49,10,1,31,ZERO CELLS
2008,college_plus,VCF0806,VCF0888,179,21,2,1,6,ZERO CELLS
2008,college_plus,VCF0806,VCF0890,179,21,2,1,11,ZERO CELLS
2008,college_plus,VCF0806,VCF0894,179,21,0,2,3,CELLS BELOW 5
2008,college_plus,VCF0806,VCF0879a,179,21,0,4,6,CELLS BELOW 5
2008,college_plus,VCF0806,VCF9223,179,28,2,3,12,ZERO CELLS
2008,college_plus,VCF0809,VCF0838,179,28,1,1,12,ZERO CELLS
2008,college_plus,VCF0809,VCF0839,179,49,9,1,34,ZERO CELLS
2008,college_plus,VCF0809,VCF0888,179,21,1,1,9,ZERO CELLS
2008,college_plus,VCF0809,VCF0890,179,21,4,1,11,ZERO CELLS
2008,college_plus,VCF0809,VCF0894,179,21,0,1,7,CELLS BELOW 5
2008,college_plus,VCF0809,VCF0879a,179,21,0,2,6,CELLS BELOW 5
2008,college_plus,VCF0809,VCF9223,179,28,0,1,13,CELLS BELOW 5
2008,college_plus,VCF0838,VCF0839,179,28,1,1,12,ZERO CELLS
2008,college_plus,VCF0838,VCF0888,179,12,1,1,4,ZERO CELLS
2008,college_plus,VCF0838,VCF0890,179,12,0,1,4,CELLS BELOW 5
2008,college_plus,VCF0838,VCF0894,179,12,0,3,2,CELLS BELOW 5
2008,college_plus,VCF0838,VCF0879a,179,12,0,1,1,CELLS BELOW 5
2008,college_plus,VCF0838,VCF9223,179,16,1,2,4,ZERO CELLS
2008,college_plus,VCF0839,VCF0888,179,21,1,1,9,ZERO CELLS
2008,college_plus,VCF0839,VCF0890,179,21,3,1,12,ZERO CELLS
2008,college_plus,VCF0839,VCF0894,179,21,1,1,6,ZERO CELLS
2008,college_plus,VCF0839,VCF0879a,179,21,0,2,6,CELLS BELOW 5
2008,college_plus,VCF0839,VCF9223,179,28,1,2,13,ZERO CELLS
2008,college_plus,VCF0888,VCF0890,179,9,0,2,3,CELLS BELOW 5
2008,college_plus,VCF0888,VCF0894,179,9,0,2,2,CELLS BELOW 5
2008,college_plus,VCF0888,VCF0879a,179,9,0,2,2,CELLS BELOW 5
2008,college_plus,VCF0888,VCF9223,179,12,0,1,4,CELLS BELOW 5
2008,college_plus,VCF0890,VCF0894,179,9,0,1,3,CELLS BELOW 5
2008,college_plus,VCF0890,VCF0879a,179,9,0,3,3,CELLS BELOW 5
2008,college_plus,VCF0890,VCF9223,179,12,0,1,5,CELLS BELOW 5
2008,college_plus,VCF0894,VCF0879a,179,9,0,11,0,NONE
2008,college_plus,VCF0894,VCF9223,179,12,0,4,1,CELLS BELOW 5
2008,college_plus,VCF0879a,VCF9223,179,12,0,1,3,CELLS BELOW 5
2012,overall,VCF0806,VCF0809,4353,49,0,14,0,NONE
2012,overall,VCF0806,VCF0838,4353,28,0,29,0,NONE
2012,overall,VCF0806,VCF0839,4353,49,0,3,1,CELLS BELOW 5
2012,overall,VCF0806,VCF0888,4353,21,0,25,0,NONE
2012,overall,VCF0806,VCF0890,4353,21,0,15,0,NONE
2012,overall,VCF0806,VCF0894,4353,21,0,31,0,NONE
2012,overall,VCF0806,VCF0879a,4353,21,0,60,0,NONE
2012,overall,VCF0806,VCF9223,4353,28,0,64,0,NONE
2012,overall,VCF0809,VCF0838,4353,28,0,32,0,NONE
2012,overall,VCF0809,VCF0839,4353,49,0,4,1,CELLS BELOW 5
2012,overall,VCF0809,VCF0888,4353,21,0,29,0,NONE
2012,overall,VCF0809,VCF0890,4353,21,0,12,0,NONE
2012,overall,VCF0809,VCF0894,4353,21,0,27,0,NONE
2012,overall,VCF0809,VCF0879a,4353,21,0,68,0,NONE
2012,overall,VCF0809,VCF9223,4353,28,0,69,0,NONE
2012,overall,VCF0838,VCF0839,4353,28,0,24,0,NONE
2012,overall,VCF0838,VCF0888,4353,12,0,47,0,NONE
2012,overall,VCF0838,VCF0890,4353,12,0,82,0,NONE
2012,overall,VCF0838,VCF0894,4353,12,0,63,0,NONE
2012,overall,VCF0838,VCF0879a,4353,12,0,57,0,NONE
2012,overall,VCF0838,VCF9223,4353,16,0,64,0,NONE
2012,overall,VCF0839,VCF0888,4353,21,0,31,0,NONE
2012,overall,VCF0839,VCF0890,4353,21,0,4,1,CELLS BELOW 5
2012,overall,VCF0839,VCF0894,4353,21,0,6,0,NONE
2012,overall,VCF0839,VCF0879a,4353,21,0,50,0,NONE
2012,overall,VCF0839,VCF9223,4353,28,0,44,0,NONE
2012,overall,VCF0888,VCF0890,4353,9,0,68,0,NONE
2012,overall,VCF0888,VCF0894,4353,9,0,75,0,NONE
2012,overall,VCF0888,VCF0879a,4353,9,0,99,0,NONE
2012,overall,VCF0888,VCF9223,4353,12,0,60,0,NONE
2012,overall,VCF0890,VCF0894,4353,9,0,13,0,NONE
2012,overall,VCF0890,VCF0879a,4353,9,0,87,0,NONE
2012,overall,VCF0890,VCF9223,4353,12,0,73,0,NONE
2012,overall,VCF0894,VCF0879a,4353,9,0,148,0,NONE
2012,overall,VCF0894,VCF9223,4353,12,0,112,0,NONE
2012,overall,VCF0879a,VCF9223,4353,12,0,63,0,NONE
2012,no_college,VCF0806,VCF0809,2773,49,0,11,0,NONE
2012,no_college,VCF0806,VCF0838,2773,28,0,20,0,NONE
2012,no_college,VCF0806,VCF0839,2773,49,0,1,2,CELLS BELOW 5
2012,no_college,VCF0806,VCF0888,2773,21,0,15,0,NONE
2012,no_college,VCF0806,VCF0890,2773,21,0,10,0,NONE
2012,no_college,VCF0806,VCF0894,2773,21,0,26,0,NONE
2012,no_college,VCF0806,VCF0879a,2773,21,0,31,0,NONE
2012,no_college,VCF0806,VCF9223,2773,28,0,43,0,NONE
2012,no_college,VCF0809,VCF0838,2773,28,0,23,0,NONE
2012,no_college,VCF0809,VCF0839,2773,49,0,4,1,CELLS BELOW 5
2012,no_college,VCF0809,VCF0888,2773,21,0,16,0,NONE
2012,no_college,VCF0809,VCF0890,2773,21,0,10,0,NONE
2012,no_college,VCF0809,VCF0894,2773,21,0,18,0,NONE
2012,no_college,VCF0809,VCF0879a,2773,21,0,28,0,NONE
2012,no_college,VCF0809,VCF9223,2773,28,0,34,0,NONE
2012,no_college,VCF0838,VCF0839,2773,28,0,22,0,NONE
2012,no_college,VCF0838,VCF0888,2773,12,0,30,0,NONE
2012,no_college,VCF0838,VCF0890,2773,12,0,41,0,NONE
2012,no_college,VCF0838,VCF0894,2773,12,0,51,0,NONE
2012,no_college,VCF0838,VCF0879a,2773,12,0,37,0,NONE
2012,no_college,VCF0838,VCF9223,2773,16,0,41,0,NONE
2012,no_college,VCF0839,VCF0888,2773,21,0,14,0,NONE
2012,no_college,VCF0839,VCF0890,2773,21,0,4,1,CELLS BELOW 5
2012,no_college,VCF0839,VCF0894,2773,21,0,6,0,NONE
2012,no_college,VCF0839,VCF0879a,2773,21,0,18,0,NONE
2012,no_college,VCF0839,VCF9223,2773,28,0,25,0,NONE
2012,no_college,VCF0888,VCF0890,2773,9,0,41,0,NONE
2012,no_college,VCF0888,VCF0894,2773,9,0,45,0,NONE
2012,no_college,VCF0888,VCF0879a,2773,9,0,37,0,NONE
2012,no_college,VCF0888,VCF9223,2773,12,0,27,0,NONE
2012,no_college,VCF0890,VCF0894,2773,9,0,11,0,NONE
2012,no_college,VCF0890,VCF0879a,2773,9,0,33,0,NONE
2012,no_college,VCF0890,VCF9223,2773,12,0,21,0,NONE
2012,no_college,VCF0894,VCF0879a,2773,9,0,86,0,NONE
2012,no_college,VCF0894,VCF9223,2773,12,0,79,0,NONE
2012,no_college,VCF0879a,VCF9223,2773,12,0,48,0,NONE
2012,college_plus,VCF0806,VCF0809,1531,49,0,1,6,CELLS BELOW 5
2012,college_plus,VCF0806,VCF0838,1531,28,0,4,1,CELLS BELOW 5
2012,college_plus,VCF0806,VCF0839,1531,49,1,1,9,ZERO CELLS
2012,college_plus,VCF0806,VCF0888,1531,21,0,10,0,NONE
2012,college_plus,VCF0806,VCF0890,1531,21,0,2,1,CELLS BELOW 5
2012,college_plus,VCF0806,VCF0894,1531,21,0,2,1,CELLS BELOW 5
2012,college_plus,VCF0806,VCF0879a,1531,21,0,27,0,NONE
2012,college_plus,VCF0806,VCF9223,1531,28,0,6,0,NONE
2012,college_plus,VCF0809,VCF0838,1531,28,0,3,2,CELLS BELOW 5
2012,college_plus,VCF0809,VCF0839,1531,49,2,1,10,ZERO CELLS
2012,college_plus,VCF0809,VCF0888,1531,21,0,5,0,NONE
2012,college_plus,VCF0809,VCF0890,1531,21,0,1,1,CELLS BELOW 5
2012,college_plus,VCF0809,VCF0894,1531,21,0,1,1,CELLS BELOW 5
2012,college_plus,VCF0809,VCF0879a,1531,21,0,15,0,NONE
2012,college_plus,VCF0809,VCF9223,1531,28,0,7,0,NONE
2012,college_plus,VCF0838,VCF0839,1531,28,0,2,3,CELLS BELOW 5
2012,college_plus,VCF0838,VCF0888,1531,12,0,10,0,NONE
2012,college_plus,VCF0838,VCF0890,1531,12,0,40,0,NONE
2012,college_plus,VCF0838,VCF0894,1531,12,0,6,0,NONE
2012,college_plus,VCF0838,VCF0879a,1531,12,0,20,0,NONE
2012,college_plus,VCF0838,VCF9223,1531,16,0,14,0,NONE
2012,college_plus,VCF0839,VCF0888,1531,21,0,5,0,NONE
2012,college_plus,VCF0839,VCF0890,1531,21,2,2,3,ZERO CELLS
2012,college_plus,VCF0839,VCF0894,1531,21,1,1,2,ZERO CELLS
2012,college_plus,VCF0839,VCF0879a,1531,21,0,8,0,NONE
2012,college_plus,VCF0839,VCF9223,1531,28,0,1,2,CELLS BELOW 5
2012,college_plus,VCF0888,VCF0890,1531,9,0,27,0,NONE
2012,college_plus,VCF0888,VCF0894,1531,9,0,21,0,NONE
2012,college_plus,VCF0888,VCF0879a,1531,9,0,35,0,NONE
2012,college_plus,VCF0888,VCF9223,1531,12,0,13,0,NONE
2012,college_plus,VCF0890,VCF0894,1531,9,0,2,1,CELLS BELOW 5
2012,college_plus,VCF0890,VCF0879a,1531,9,0,52,0,NONE
2012,college_plus,VCF0890,VCF9223,1531,12,0,19,0,NONE
2012,college_plus,VCF0894,VCF0879a,1531,9,0,20,0,NONE
2012,college_plus,VCF0894,VCF9223,1531,12,0,7,0,NONE
2012,college_plus,VCF0879a,VCF9223,1531,12,0,10,0,NONE
