"Figure_ID","Source_path","Final_path","Figure_role","Required_caption_boundary","Bytes","Source_SHA256","Final_SHA256","Byte_identical"
"FIG10_11","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2016__no_college_degree.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_network_2016__no_college_degree.png","SUPPLEMENTARY_EDUCATION_WITHIN_NETWORK","Within-group descriptive network only; common layout and scale; no between-group inference.",109496,"e8b264ffe1d1d7fe05532c96de08cf140a71370bbacb26fa462625b6a1268eec","e8b264ffe1d1d7fe05532c96de08cf140a71370bbacb26fa462625b6a1268eec",TRUE
"FIG10_12","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2016__college_or_advanced.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_network_2016__college_or_advanced.png","SUPPLEMENTARY_EDUCATION_WITHIN_NETWORK","Within-group descriptive network only; common layout and scale; no between-group inference.",108985,"db308795d06ce116cced49645bf250ed4e7d964aa72f8712e07918ca8305caac","db308795d06ce116cced49645bf250ed4e7d964aa72f8712e07918ca8305caac",TRUE
"FIG10_13","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2020__no_college_degree.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_network_2020__no_college_degree.png","SUPPLEMENTARY_EDUCATION_WITHIN_NETWORK","Within-group descriptive network only; common layout and scale; no between-group inference.",106568,"161a8fcba1c7183a41d47c471712d9780e82800c0bbaef4a636370553392c795","161a8fcba1c7183a41d47c471712d9780e82800c0bbaef4a636370553392c795",TRUE
"FIG10_14","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2020__college_or_advanced.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_network_2020__college_or_advanced.png","SUPPLEMENTARY_EDUCATION_WITHIN_NETWORK","Within-group descriptive network only; common layout and scale; no between-group inference.",116691,"6838c017cdc8fa69347f18620f2a0d6e782f8fbe53417be1db187df7abb770d0","6838c017cdc8fa69347f18620f2a0d6e782f8fbe53417be1db187df7abb770d0",TRUE
"FIG10_15","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2024__no_college_degree.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_network_2024__no_college_degree.png","SUPPLEMENTARY_EDUCATION_WITHIN_NETWORK","Within-group descriptive network only; common layout and scale; no between-group inference.",114070,"b8225f36900876f7e596a1960da503952a5589573122757d8bac60a836d56f9b","b8225f36900876f7e596a1960da503952a5589573122757d8bac60a836d56f9b",TRUE
"FIG10_16","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_network_2024__college_or_advanced.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_network_2024__college_or_advanced.png","SUPPLEMENTARY_EDUCATION_WITHIN_NETWORK","Within-group descriptive network only; common layout and scale; no between-group inference.",114632,"040d0716d91e4ce48bd83be0ffdd5193b271c84a0b546e9841803c8156835f7c","040d0716d91e4ce48bd83be0ffdd5193b271c84a0b546e9841803c8156835f7c",TRUE
"FIG10_17","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2012__no_college_degree.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_edge_accuracy_2012__no_college_degree.png","SUPPLEMENTARY_EDUCATION_EDGE_ACCURACY","Within-group edge uncertainty only; no between-group inference and no second edge-selection rule.",102254,"e9ba08619276f06ffb4b9ee6b5bd5099338066a236e77eb385346ad4663192f6","e9ba08619276f06ffb4b9ee6b5bd5099338066a236e77eb385346ad4663192f6",TRUE
"FIG10_18","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2012__college_or_advanced.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_edge_accuracy_2012__college_or_advanced.png","SUPPLEMENTARY_EDUCATION_EDGE_ACCURACY","Within-group edge uncertainty only; no between-group inference and no second edge-selection rule.",103316,"9baa6f074d979ef8fcc7a7c4bf08b6de3dcb9abd9729990a16c5f67d79e8b2bd","9baa6f074d979ef8fcc7a7c4bf08b6de3dcb9abd9729990a16c5f67d79e8b2bd",TRUE
"FIG10_19","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2016__no_college_degree.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_edge_accuracy_2016__no_college_degree.png","SUPPLEMENTARY_EDUCATION_EDGE_ACCURACY","Within-group edge uncertainty only; no between-group inference and no second edge-selection rule.",102572,"5070c91ff9813dc17d7a237be0ab03cf175ca355de3e624060c664abedcae5cb","5070c91ff9813dc17d7a237be0ab03cf175ca355de3e624060c664abedcae5cb",TRUE
"FIG10_20","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2016__college_or_advanced.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_edge_accuracy_2016__college_or_advanced.png","SUPPLEMENTARY_EDUCATION_EDGE_ACCURACY","Within-group edge uncertainty only; no between-group inference and no second edge-selection rule.",103581,"6a5e1629830487d6f9771d17b9d703817718763c3d59a0e45920d5ec217f0723","6a5e1629830487d6f9771d17b9d703817718763c3d59a0e45920d5ec217f0723",TRUE
"FIG10_21","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2020__no_college_degree.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_edge_accuracy_2020__no_college_degree.png","SUPPLEMENTARY_EDUCATION_EDGE_ACCURACY","Within-group edge uncertainty only; no between-group inference and no second edge-selection rule.",102080,"ed131c196994defb0ba9ed28e3f5ff888986a7a7d3ca94e2cb951ac69875c4d4","ed131c196994defb0ba9ed28e3f5ff888986a7a7d3ca94e2cb951ac69875c4d4",TRUE
"FIG10_22","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2020__college_or_advanced.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_edge_accuracy_2020__college_or_advanced.png","SUPPLEMENTARY_EDUCATION_EDGE_ACCURACY","Within-group edge uncertainty only; no between-group inference and no second edge-selection rule.",103033,"cb598c342b09935d4056e39bdb168fb09c17cb90aec24e5cb5bc97f0a6ea7ea6","cb598c342b09935d4056e39bdb168fb09c17cb90aec24e5cb5bc97f0a6ea7ea6",TRUE
"FIG10_23","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2024__no_college_degree.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_edge_accuracy_2024__no_college_degree.png","SUPPLEMENTARY_EDUCATION_EDGE_ACCURACY","Within-group edge uncertainty only; no between-group inference and no second edge-selection rule.",102147,"1c60ddcfa23c03a26681eb63e3beb30724e88ece78af5be30b1ef00db7444cf9","1c60ddcfa23c03a26681eb63e3beb30724e88ece78af5be30b1ef00db7444cf9",TRUE
"FIG10_24","D:/ANES_code/ANES_dissertation/outputs/figures/formal/08C_education_edge_accuracy_2024__college_or_advanced.png","D:/ANES_code/ANES_dissertation/outputs/figures/final/10_08C_education_edge_accuracy_2024__college_or_advanced.png","SUPPLEMENTARY_EDUCATION_EDGE_ACCURACY","Within-group edge uncertainty only; no between-group inference and no second edge-selection rule.",103281,"bcb12e9e6022d3be578f928f03328fbcefe5e30a7cf4a4bb5e205ed819131e26","bcb12e9e6022d3be578f928f03328fbcefe5e30a7cf4a4bb5e205ed819131e26",TRUE
