"Variable","Year","Year_role","Total_n","Substantive_n","Substantive_pct","System_missing_n","Outside_substantive_scale_n","Observed_substantive_categories","Observed_substantive_codes","Specified_substantive_codes","Source_entry","Source_status","Codebook_PDF_pages","Raw_availability_gate","Previous_audit_valid_n","Difference_from_previous_n","Scope_note"
"VCF0809",2020,"PRIMARY_YEAR",8280,7322,88.4299516908213,0,958,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V201255","SOURCE_DOCUMENTED_IN_CDF_SECTION","347-348",TRUE,7322,0,"Raw availability is not proof of measurement comparability."
"VCF0809",2024,"PRIMARY_YEAR",5521,4742,85.8902372758558,0,779,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V241252","SOURCE_DOCUMENTED_IN_CDF_SECTION","347-348",TRUE,4742,0,"Raw availability is not proof of measurement comparability."
"VCF0830",2004,"PRIMARY_YEAR",1212,1073,88.5313531353135,0,139,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V043158","SOURCE_DOCUMENTED_IN_CDF_SECTION","360-361",TRUE,1073,0,"Raw availability is not proof of measurement comparability."
"VCF0830",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,1923,82.8165374677003,0,399,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V083137","SOURCE_DOCUMENTED_IN_CDF_SECTION","360-361",TRUE,1923,0,"Raw availability is not proof of measurement comparability."
"VCF0830",2012,"PRIMARY_YEAR",5914,5188,87.7240446398377,0,726,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","NOT_DOCUMENTED_IN_VARIABLE_SECTION","VALUES_PRESENT_SOURCE_GAP","360-361",TRUE,5188,0,"Raw availability is not proof of measurement comparability."
"VCF0830",2016,"PRIMARY_YEAR",4270,3753,87.8922716627635,0,517,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V161198","SOURCE_DOCUMENTED_IN_CDF_SECTION","360-361",TRUE,3753,0,"Raw availability is not proof of measurement comparability."
"VCF0830",2020,"PRIMARY_YEAR",8280,7403,89.4082125603865,0,877,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V201258","SOURCE_DOCUMENTED_IN_CDF_SECTION","360-361",TRUE,7403,0,"Raw availability is not proof of measurement comparability."
"VCF0830",2024,"PRIMARY_YEAR",5521,4782,86.6147437058504,0,739,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V241255","SOURCE_DOCUMENTED_IN_CDF_SECTION","360-361",TRUE,4782,0,"Raw availability is not proof of measurement comparability."
"VCF0838",2004,"PRIMARY_YEAR",1212,1047,86.3861386138614,0,165,4,"1|2|3|4","1|2|3|4","V045132","SOURCE_DOCUMENTED_IN_CDF_SECTION","363-364",TRUE,1047,0,"Raw availability is not proof of measurement comparability."
"VCF0838",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,1031,44.4013781223084,0,1291,4,"1|2|3|4","1|2|3|4","V085086","SOURCE_DOCUMENTED_IN_CDF_SECTION","363-364",TRUE,1031,0,"Raw availability is not proof of measurement comparability."
"VCF0838",2012,"PRIMARY_YEAR",5914,5855,99.002367264119,0,59,4,"1|2|3|4","1|2|3|4","abortpre_4point","SOURCE_DOCUMENTED_IN_CDF_SECTION","363-364",TRUE,5855,0,"Raw availability is not proof of measurement comparability."
"VCF0838",2016,"PRIMARY_YEAR",4270,4207,98.5245901639344,0,63,4,"1|2|3|4","1|2|3|4","V161232","SOURCE_DOCUMENTED_IN_CDF_SECTION","363-364",TRUE,4207,0,"Raw availability is not proof of measurement comparability."
"VCF0838",2020,"PRIMARY_YEAR",8280,7900,95.4106280193237,0,380,4,"1|2|3|4","1|2|3|4","V201336","SOURCE_DOCUMENTED_IN_CDF_SECTION","363-364",TRUE,7900,0,"Raw availability is not proof of measurement comparability."
"VCF0838",2024,"PRIMARY_YEAR",5521,5021,90.9436696250679,0,500,4,"1|2|3|4","1|2|3|4","V241302","SOURCE_DOCUMENTED_IN_CDF_SECTION","363-364",TRUE,5021,0,"Raw availability is not proof of measurement comparability."
"VCF0839",2004,"PRIMARY_YEAR",1212,1060,87.4587458745875,0,152,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V043136","SOURCE_DOCUMENTED_IN_CDF_SECTION","364-365",TRUE,1060,0,"Raw availability is not proof of measurement comparability."
"VCF0839",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,953,41.0422049956934,0,1369,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V083105","SOURCE_DOCUMENTED_IN_CDF_SECTION","364-365",TRUE,953,0,"Raw availability is not proof of measurement comparability."
"VCF0839",2012,"PRIMARY_YEAR",5914,5241,88.6202231991884,0,673,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","spsrvpr_ssself","SOURCE_DOCUMENTED_IN_CDF_SECTION","364-365",TRUE,5241,0,"Raw availability is not proof of measurement comparability."
"VCF0839",2016,"PRIMARY_YEAR",4270,3627,84.9414519906323,0,643,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V161178","SOURCE_DOCUMENTED_IN_CDF_SECTION","364-365",TRUE,3627,0,"Raw availability is not proof of measurement comparability."
"VCF0839",2020,"PRIMARY_YEAR",8280,7067,85.3502415458937,0,1213,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V201246","SOURCE_DOCUMENTED_IN_CDF_SECTION","364-365",TRUE,7067,0,"Raw availability is not proof of measurement comparability."
"VCF0839",2024,"PRIMARY_YEAR",5521,4751,86.0532512226046,0,770,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V241239","SOURCE_DOCUMENTED_IN_CDF_SECTION","364-365",TRUE,4751,0,"Raw availability is not proof of measurement comparability."
"VCF0843",2004,"PRIMARY_YEAR",1212,1061,87.5412541254125,0,151,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V043142","SOURCE_DOCUMENTED_IN_CDF_SECTION","367",TRUE,1061,0,"Raw availability is not proof of measurement comparability."
"VCF0843",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,963,41.4728682170543,0,1359,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V083112","SOURCE_DOCUMENTED_IN_CDF_SECTION","367",TRUE,963,0,"Raw availability is not proof of measurement comparability."
"VCF0843",2012,"PRIMARY_YEAR",5914,0,0,5914,0,0,"","1|2|3|4|5|6|7","INCOMPARABLE_2012_SCALE_DOCUMENTED","ALTERNATIVE_SCALE_DOCUMENTED_NOT_COMPARABLE","367",FALSE,0,0,"Raw availability is not proof of measurement comparability."
"VCF0843",2016,"PRIMARY_YEAR",4270,3683,86.2529274004684,0,587,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V161181","SOURCE_DOCUMENTED_IN_CDF_SECTION","367",TRUE,3683,0,"Raw availability is not proof of measurement comparability."
"VCF0843",2020,"PRIMARY_YEAR",8280,7138,86.207729468599,0,1142,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V201249","SOURCE_DOCUMENTED_IN_CDF_SECTION","367",TRUE,7138,0,"Raw availability is not proof of measurement comparability."
"VCF0843",2024,"PRIMARY_YEAR",5521,4587,83.0827748596269,0,934,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V241242","SOURCE_DOCUMENTED_IN_CDF_SECTION","367",TRUE,4587,0,"Raw availability is not proof of measurement comparability."
"VCF0888",2004,"PRIMARY_YEAR",1212,1198,98.8448844884488,0,14,3,"1|2|3","1|2|3","V043168","SOURCE_DOCUMENTED_IN_CDF_SECTION","392-394",TRUE,1198,0,"Raw availability is not proof of measurement comparability."
"VCF0888",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2290,98.6218776916451,0,32,3,"1|2|3","1|2|3","V083144_PRIOR_REPAIR_CDF_PRINTS_V083148","PRIOR_SINGLE_WAVE_REPAIR_NOT_RERUN","392-394",TRUE,2290,0,"Raw availability is not proof of measurement comparability."
"VCF0888",2012,"PRIMARY_YEAR",5914,5861,99.1038214406493,0,53,3,"1|2|3","1|2|3","fedspend_crime","SOURCE_DOCUMENTED_IN_CDF_SECTION","392-394",TRUE,5861,0,"Raw availability is not proof of measurement comparability."
"VCF0888",2016,"PRIMARY_YEAR",4270,4247,99.4613583138173,0,23,3,"1|2|3","1|2|3","V161208","SOURCE_DOCUMENTED_IN_CDF_SECTION","392-394",TRUE,4247,0,"Raw availability is not proof of measurement comparability."
"VCF0888",2020,"PRIMARY_YEAR",8280,8227,99.3599033816425,0,53,3,"1|2|3","1|2|3","V201309","SOURCE_DOCUMENTED_IN_CDF_SECTION","392-394",TRUE,8227,0,"Raw availability is not proof of measurement comparability."
"VCF0888",2024,"PRIMARY_YEAR",5521,5246,95.0190182937874,245,30,3,"1|2|3","1|2|3","V241270","SOURCE_DOCUMENTED_IN_CDF_SECTION","392-394",TRUE,5246,0,"Raw availability is not proof of measurement comparability."
"VCF0890",2004,"PRIMARY_YEAR",1212,1201,99.0924092409241,0,11,3,"1|2|3","1|2|3","V043166","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|394-395",TRUE,1201,0,"Raw availability is not proof of measurement comparability."
"VCF0890",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2295,98.8372093023256,0,27,3,"1|2|3","1|2|3","V083142","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|394-395",TRUE,2295,0,"Raw availability is not proof of measurement comparability."
"VCF0890",2012,"PRIMARY_YEAR",5914,5881,99.4420020290835,0,33,3,"1|2|3","1|2|3","fedspend_schools","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|394-395",TRUE,5881,0,"Raw availability is not proof of measurement comparability."
"VCF0890",2016,"PRIMARY_YEAR",4270,4247,99.4613583138173,0,23,3,"1|2|3","1|2|3","V161206","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|394-395",TRUE,4247,0,"Raw availability is not proof of measurement comparability."
"VCF0890",2020,"PRIMARY_YEAR",8280,8251,99.6497584541063,0,29,3,"1|2|3","1|2|3","V201303","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|394-395",TRUE,8251,0,"Raw availability is not proof of measurement comparability."
"VCF0890",2024,"PRIMARY_YEAR",5521,5250,95.0914689367868,245,26,3,"1|2|3","1|2|3","V241264","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|394-395",TRUE,5250,0,"Raw availability is not proof of measurement comparability."
"VCF0894",2004,"PRIMARY_YEAR",1212,1190,98.1848184818482,0,22,3,"1|2|3","1|2|3","V043169","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|396-397",TRUE,1190,0,"Raw availability is not proof of measurement comparability."
"VCF0894",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2275,97.9758828596038,0,47,3,"1|2|3","1|2|3","V083145","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|396-397",TRUE,2275,0,"Raw availability is not proof of measurement comparability."
"VCF0894",2012,"PRIMARY_YEAR",5914,5848,98.8840040581671,0,66,3,"1|2|3","1|2|3","fedspend_welfare","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|396-397",TRUE,5848,0,"Raw availability is not proof of measurement comparability."
"VCF0894",2016,"PRIMARY_YEAR",4270,4228,99.016393442623,0,42,3,"1|2|3","1|2|3","V161209","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|396-397",TRUE,4228,0,"Raw availability is not proof of measurement comparability."
"VCF0894",2020,"PRIMARY_YEAR",8280,8223,99.3115942028985,0,57,3,"1|2|3","1|2|3","V201312","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|396-397",TRUE,8223,0,"Raw availability is not proof of measurement comparability."
"VCF0894",2024,"PRIMARY_YEAR",5521,5223,94.6024270965405,245,53,3,"1|2|3","1|2|3","V241273","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|396-397",TRUE,5223,0,"Raw availability is not proof of measurement comparability."
"VCF9047",2004,"PRIMARY_YEAR",1212,0,0,1212,0,0,"","1|2|3|7","NOT_DOCUMENTED_IN_VARIABLE_SECTION","NO_VALUES_OR_DOCUMENTED_SOURCE","392|519",FALSE,0,0,"Raw availability is not proof of measurement comparability."
"VCF9047",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2289,98.578811369509,0,33,4,"1|2|3|7","1|2|3|7","V083151_QUESTION_BLOCK_YEAR_LINK_REQUIRES_SINGLE_WAVE_CHECK","SOURCE_DOCUMENTED_IN_QUESTION_BLOCK","392|519",TRUE,2289,0,"Raw availability is not proof of measurement comparability."
"VCF9047",2012,"PRIMARY_YEAR",5914,5882,99.4589110585052,0,32,3,"1|2|3","1|2|3|7","fedspend_enviro_QUESTION_BLOCK","SOURCE_DOCUMENTED_IN_QUESTION_BLOCK","392|519",TRUE,5882,0,"Raw availability is not proof of measurement comparability."
"VCF9047",2016,"PRIMARY_YEAR",4270,4239,99.2740046838407,0,31,3,"1|2|3","1|2|3|7","V161212","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|519",TRUE,4239,0,"Raw availability is not proof of measurement comparability."
"VCF9047",2020,"PRIMARY_YEAR",8280,8254,99.6859903381643,0,26,3,"1|2|3","1|2|3|7","V201321","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|519",TRUE,8254,0,"Raw availability is not proof of measurement comparability."
"VCF9047",2024,"PRIMARY_YEAR",5521,5249,95.0733562760369,245,27,3,"1|2|3","1|2|3|7","V241282","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|519",TRUE,5249,0,"Raw availability is not proof of measurement comparability."
"VCF9049",2004,"PRIMARY_YEAR",1212,1191,98.2673267326733,0,21,4,"1|2|3|7","1|2|3|7","V043165","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|520",TRUE,1191,0,"Raw availability is not proof of measurement comparability."
"VCF9049",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2280,98.1912144702842,0,42,4,"1|2|3|7","1|2|3|7","NOT_DOCUMENTED_IN_VARIABLE_SECTION","VALUES_PRESENT_SOURCE_GAP","392|520",TRUE,2280,0,"Raw availability is not proof of measurement comparability."
"VCF9049",2012,"PRIMARY_YEAR",5914,5850,98.9178221170105,0,64,3,"1|2|3","1|2|3|7","fedspend_ss","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|520",TRUE,5850,0,"Raw availability is not proof of measurement comparability."
"VCF9049",2016,"PRIMARY_YEAR",4270,4239,99.2740046838407,0,31,3,"1|2|3","1|2|3|7","V161205","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|520",TRUE,4239,0,"Raw availability is not proof of measurement comparability."
"VCF9049",2020,"PRIMARY_YEAR",8280,8240,99.5169082125604,0,40,3,"1|2|3","1|2|3|7","V201300","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|520",TRUE,8240,0,"Raw availability is not proof of measurement comparability."
"VCF9049",2024,"PRIMARY_YEAR",5521,5238,94.8741170077884,245,38,3,"1|2|3","1|2|3|7","V241261","SOURCE_DOCUMENTED_IN_CDF_SECTION","392|520",TRUE,5238,0,"Raw availability is not proof of measurement comparability."
"VCF0879a",2004,"PRIMARY_YEAR",1212,1047,86.3861386138614,0,165,3,"1|3|5","1|3|5","V045115","SOURCE_DOCUMENTED_IN_CDF_SECTION","388-389",TRUE,1047,0,"Raw availability is not proof of measurement comparability."
"VCF0879a",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2061,88.7596899224806,0,261,3,"1|3|5","1|3|5","V085082","SOURCE_DOCUMENTED_IN_CDF_SECTION","388-389",TRUE,2061,0,"Raw availability is not proof of measurement comparability."
"VCF0879a",2012,"PRIMARY_YEAR",5914,5390,91.1396685830233,0,524,3,"1|3|5","1|3|5","immigpo_level","SOURCE_DOCUMENTED_IN_CDF_SECTION","388-389",TRUE,5390,0,"Raw availability is not proof of measurement comparability."
"VCF0879a",2016,"PRIMARY_YEAR",4270,3621,84.8009367681499,0,649,3,"1|3|5","1|3|5","V162157","SOURCE_DOCUMENTED_IN_CDF_SECTION","388-389",TRUE,3621,0,"Raw availability is not proof of measurement comparability."
"VCF0879a",2020,"PRIMARY_YEAR",8280,7350,88.768115942029,0,930,3,"1|3|5","1|3|5","V202232","SOURCE_DOCUMENTED_IN_CDF_SECTION","388-389",TRUE,7350,0,"Raw availability is not proof of measurement comparability."
"VCF0879a",2024,"PRIMARY_YEAR",5521,4898,88.7158123528346,0,623,3,"1|3|5","1|3|5","V242227_PRIOR_REPAIR_CDF_PRINTS_V242228","PRIOR_SINGLE_WAVE_REPAIR_NOT_RERUN","388-389",TRUE,4898,0,"Raw availability is not proof of measurement comparability."
"VCF9223",2004,"PRIMARY_YEAR",1212,1059,87.3762376237624,0,153,4,"1|2|3|4","1|2|3|4","V045116","SOURCE_DOCUMENTED_IN_CDF_SECTION","590",TRUE,1059,0,"Raw availability is not proof of measurement comparability."
"VCF9223",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2082,89.6640826873385,0,240,4,"1|2|3|4","1|2|3|4","V085083","SOURCE_DOCUMENTED_IN_CDF_SECTION","590",TRUE,2082,0,"Raw availability is not proof of measurement comparability."
"VCF9223",2012,"PRIMARY_YEAR",5914,5451,92.1711193777477,0,463,4,"1|2|3|4","1|2|3|4","immigpo_jobs","SOURCE_DOCUMENTED_IN_CDF_SECTION","590",TRUE,5451,0,"Raw availability is not proof of measurement comparability."
"VCF9223",2016,"PRIMARY_YEAR",4270,3629,84.9882903981265,0,641,4,"1|2|3|4","1|2|3|4","V162158","SOURCE_DOCUMENTED_IN_CDF_SECTION","590",TRUE,3629,0,"Raw availability is not proof of measurement comparability."
"VCF9223",2020,"PRIMARY_YEAR",8280,7389,89.2391304347826,0,891,4,"1|2|3|4","1|2|3|4","V202233","SOURCE_DOCUMENTED_IN_CDF_SECTION","590",TRUE,7389,0,"Raw availability is not proof of measurement comparability."
"VCF9223",2024,"PRIMARY_YEAR",5521,4722,85.5279840608585,0,799,4,"1|2|3|4","1|2|3|4","V242228","SOURCE_DOCUMENTED_IN_CDF_SECTION","590",TRUE,4722,0,"Raw availability is not proof of measurement comparability."
"VCF0301",2004,"PRIMARY_YEAR",1212,1195,98.5973597359736,0,17,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V043116","SOURCE_DOCUMENTED_IN_CDF_SECTION","117-118",TRUE,1195,0,"Raw availability is not proof of measurement comparability."
"VCF0301",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2282,98.2773471145564,0,40,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V083098x","SOURCE_DOCUMENTED_IN_CDF_SECTION","117-118",TRUE,2282,0,"Raw availability is not proof of measurement comparability."
"VCF0301",2012,"PRIMARY_YEAR",5914,5890,99.5941832938789,0,24,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","pid_x","SOURCE_DOCUMENTED_IN_CDF_SECTION","117-118",TRUE,5890,0,"Raw availability is not proof of measurement comparability."
"VCF0301",2016,"PRIMARY_YEAR",4270,4247,99.4613583138173,0,23,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V161158x","SOURCE_DOCUMENTED_IN_CDF_SECTION","117-118",TRUE,4247,0,"Raw availability is not proof of measurement comparability."
"VCF0301",2020,"PRIMARY_YEAR",8280,8245,99.5772946859903,0,35,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V201231x","SOURCE_DOCUMENTED_IN_CDF_SECTION","117-118",TRUE,8245,0,"Raw availability is not proof of measurement comparability."
"VCF0301",2024,"PRIMARY_YEAR",5521,5483,99.3117188915052,0,38,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V241226_and_V241227x","SOURCE_DOCUMENTED_IN_CDF_SECTION","117-118",TRUE,5483,0,"Raw availability is not proof of measurement comparability."
"VCF0803",2004,"PRIMARY_YEAR",1212,920,75.9075907590759,0,292,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V045117","SOURCE_DOCUMENTED_IN_CDF_SECTION","344",TRUE,920,0,"Raw availability is not proof of measurement comparability."
"VCF0803",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,1626,70.0258397932816,0,696,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V083069","SOURCE_DOCUMENTED_IN_CDF_SECTION","344",TRUE,1626,0,"Raw availability is not proof of measurement comparability."
"VCF0803",2012,"PRIMARY_YEAR",5914,5300,89.6178559350693,0,614,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","libcpre_self","SOURCE_DOCUMENTED_IN_CDF_SECTION","344",TRUE,5300,0,"Raw availability is not proof of measurement comparability."
"VCF0803",2016,"PRIMARY_YEAR",4270,3303,77.3536299765808,0,967,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V162171","SOURCE_DOCUMENTED_IN_CDF_SECTION","344",TRUE,3303,0,"Raw availability is not proof of measurement comparability."
"VCF0803",2020,"PRIMARY_YEAR",8280,7056,85.2173913043478,0,1224,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V201200","SOURCE_DOCUMENTED_IN_CDF_SECTION","344",TRUE,7056,0,"Raw availability is not proof of measurement comparability."
"VCF0803",2024,"PRIMARY_YEAR",5521,4732,85.7091106683572,0,789,7,"1|2|3|4|5|6|7","1|2|3|4|5|6|7","V241177","SOURCE_DOCUMENTED_IN_CDF_SECTION","344",TRUE,4732,0,"Raw availability is not proof of measurement comparability."
"VCF0846",2004,"PRIMARY_YEAR",1212,1203,99.2574257425743,0,9,2,"1|2","1|2","V043219","SOURCE_DOCUMENTED_IN_CDF_SECTION","368-369",TRUE,1203,0,"Raw availability is not proof of measurement comparability."
"VCF0846",2008,"HISTORICAL_DIAGNOSTIC_ONLY",2322,2309,99.4401378122308,0,13,2,"1|2","1|2","V083181","SOURCE_DOCUMENTED_IN_CDF_SECTION","368-369",TRUE,2309,0,"Raw availability is not proof of measurement comparability."
"VCF0846",2012,"PRIMARY_YEAR",5914,5882,99.4589110585052,0,32,2,"1|2","1|2","relig_import","SOURCE_DOCUMENTED_IN_CDF_SECTION","368-369",TRUE,5882,0,"Raw availability is not proof of measurement comparability."
"VCF0846",2016,"PRIMARY_YEAR",4270,4243,99.367681498829,0,27,2,"1|2","1|2","V161241","SOURCE_DOCUMENTED_IN_CDF_SECTION","368-369",TRUE,4243,0,"Raw availability is not proof of measurement comparability."
"VCF0846",2020,"PRIMARY_YEAR",8280,8249,99.6256038647343,0,31,2,"1|2","1|2","V201433","SOURCE_DOCUMENTED_IN_CDF_SECTION","368-369",TRUE,8249,0,"Raw availability is not proof of measurement comparability."
"VCF0846",2024,"PRIMARY_YEAR",5521,5494,99.5109581597537,0,27,2,"1|2","1|2","V241420","SOURCE_DOCUMENTED_IN_CDF_SECTION","368-369",TRUE,5494,0,"Raw availability is not proof of measurement comparability."
