"Variable","Year","Raw_code","Raw_label","N","Response_class"
"VCF0806",2016,6,"UNLABELLED_IN_DTA",497,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2016,7,"7. Private insurance plan",624,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2016,9,"9. DK; haven't thought much about it",492,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,0,"0. NA; Form II (1972); version NEW (2008); no Post IW;",27,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,1,"1. Government insurance plan",1648,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,2,"UNLABELLED_IN_DTA",882,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,3,"UNLABELLED_IN_DTA",852,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,4,"UNLABELLED_IN_DTA",1264,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,5,"UNLABELLED_IN_DTA",825,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,6,"UNLABELLED_IN_DTA",708,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,7,"7. Private insurance plan",1173,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2020,9,"9. DK; haven't thought much about it",901,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,-1,"UNLABELLED_IN_DTA",245,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,0,"0. NA; Form II (1972); version NEW (2008); no Post IW;",15,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,1,"1. Government insurance plan",1075,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,2,"UNLABELLED_IN_DTA",590,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,3,"UNLABELLED_IN_DTA",623,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,4,"UNLABELLED_IN_DTA",833,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,5,"UNLABELLED_IN_DTA",568,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,6,"UNLABELLED_IN_DTA",438,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,7,"7. Private insurance plan",651,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0806",2024,9,"9. DK; haven't thought much about it",483,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2004,1,"1. Government see to job and good standard of living",135,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2004,2,"UNLABELLED_IN_DTA",92,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2004,3,"UNLABELLED_IN_DTA",144,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2004,4,"UNLABELLED_IN_DTA",225,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2004,5,"UNLABELLED_IN_DTA",189,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2004,6,"UNLABELLED_IN_DTA",179,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2004,7,"7. Government let each person get ahead on his own",139,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2004,9,"9. DK; haven't thought much about it",109,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,0,"0. NA; no Post IW; form A (1986); version NEW (2008);",1171,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,1,"1. Government see to job and good standard of living",172,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,2,"UNLABELLED_IN_DTA",102,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,3,"UNLABELLED_IN_DTA",121,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,4,"UNLABELLED_IN_DTA",203,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,5,"UNLABELLED_IN_DTA",173,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,6,"UNLABELLED_IN_DTA",130,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,7,"7. Government let each person get ahead on his own",123,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2008,9,"9. DK; haven't thought much about it",127,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,0,"0. NA; no Post IW; form A (1986); version NEW (2008);",7,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,1,"1. Government see to job and good standard of living",609,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,2,"UNLABELLED_IN_DTA",536,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,3,"UNLABELLED_IN_DTA",708,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,4,"UNLABELLED_IN_DTA",1256,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,5,"UNLABELLED_IN_DTA",843,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,6,"UNLABELLED_IN_DTA",839,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,7,"7. Government let each person get ahead on his own",685,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2012,9,"9. DK; haven't thought much about it",431,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,0,"0. NA; no Post IW; form A (1986); version NEW (2008);",12,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,1,"1. Government see to job and good standard of living",368,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,2,"UNLABELLED_IN_DTA",326,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,3,"UNLABELLED_IN_DTA",509,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,4,"UNLABELLED_IN_DTA",824,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,5,"UNLABELLED_IN_DTA",638,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,6,"UNLABELLED_IN_DTA",611,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,7,"7. Government let each person get ahead on his own",497,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2016,9,"9. DK; haven't thought much about it",485,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,0,"0. NA; no Post IW; form A (1986); version NEW (2008);",28,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,1,"1. Government see to job and good standard of living",922,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,2,"UNLABELLED_IN_DTA",767,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,3,"UNLABELLED_IN_DTA",1019,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,4,"UNLABELLED_IN_DTA",1460,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,5,"UNLABELLED_IN_DTA",999,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,6,"UNLABELLED_IN_DTA",958,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,7,"7. Government let each person get ahead on his own",1197,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2020,9,"9. DK; haven't thought much about it",930,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,-1,"UNLABELLED_IN_DTA",245,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,0,"0. NA; no Post IW; form A (1986); version NEW (2008);",14,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,1,"1. Government see to job and good standard of living",671,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,2,"UNLABELLED_IN_DTA",461,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,3,"UNLABELLED_IN_DTA",695,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,4,"UNLABELLED_IN_DTA",958,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,5,"UNLABELLED_IN_DTA",672,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,6,"UNLABELLED_IN_DTA",597,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,7,"7. Government let each person get ahead on his own",688,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0809",2024,9,"9. DK; haven't thought much about it",520,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,0,"0. NA; telephone IW (2000); no Post IW",17,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,1,"1. Government should help minority groups/blacks",95,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,2,"UNLABELLED_IN_DTA",63,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,3,"UNLABELLED_IN_DTA",97,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,4,"UNLABELLED_IN_DTA",275,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,5,"UNLABELLED_IN_DTA",175,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,6,"UNLABELLED_IN_DTA",191,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,7,"7. Minority groups/ blacks should help themselves",177,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2004,9,"9. DK; haven't thought much about it",122,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,0,"0. NA; telephone IW (2000); no Post IW",11,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,1,"1. Government should help minority groups/blacks",236,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,2,"UNLABELLED_IN_DTA",114,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,3,"UNLABELLED_IN_DTA",165,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,4,"UNLABELLED_IN_DTA",463,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,5,"UNLABELLED_IN_DTA",246,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,6,"UNLABELLED_IN_DTA",261,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,7,"7. Minority groups/ blacks should help themselves",438,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2008,9,"9. DK; haven't thought much about it",388,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,0,"0. NA; telephone IW (2000); no Post IW",31,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,1,"1. Government should help minority groups/blacks",360,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,2,"UNLABELLED_IN_DTA",269,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,3,"UNLABELLED_IN_DTA",458,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,4,"UNLABELLED_IN_DTA",1321,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,5,"UNLABELLED_IN_DTA",670,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,6,"UNLABELLED_IN_DTA",857,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,7,"7. Minority groups/ blacks should help themselves",1253,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2012,9,"9. DK; haven't thought much about it",695,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,0,"0. NA; telephone IW (2000); no Post IW",17,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,1,"1. Government should help minority groups/blacks",370,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,2,"UNLABELLED_IN_DTA",322,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,3,"UNLABELLED_IN_DTA",398,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,4,"UNLABELLED_IN_DTA",874,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,5,"UNLABELLED_IN_DTA",478,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,6,"UNLABELLED_IN_DTA",573,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,7,"7. Minority groups/ blacks should help themselves",738,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2016,9,"9. DK; haven't thought much about it",500,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,0,"0. NA; telephone IW (2000); no Post IW",43,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,1,"1. Government should help minority groups/blacks",1397,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,2,"UNLABELLED_IN_DTA",910,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,3,"UNLABELLED_IN_DTA",980,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,4,"UNLABELLED_IN_DTA",1586,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,5,"UNLABELLED_IN_DTA",778,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,6,"UNLABELLED_IN_DTA",681,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,7,"7. Minority groups/ blacks should help themselves",1071,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2020,9,"9. DK; haven't thought much about it",834,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,0,"0. NA; telephone IW (2000); no Post IW",105,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,1,"1. Government should help minority groups/blacks",726,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,2,"UNLABELLED_IN_DTA",528,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,3,"UNLABELLED_IN_DTA",648,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,4,"UNLABELLED_IN_DTA",1132,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,5,"UNLABELLED_IN_DTA",521,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,6,"UNLABELLED_IN_DTA",495,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,7,"7. Minority groups/ blacks should help themselves",732,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0830",2024,9,"9. DK; haven't thought much about it",634,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2004,0,"0. NA; no Post IW; version NEW (2008)",151,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2004,1,"1. By law, abortion should never be permitted",139,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2004,2,"2. The law should permit abortion only in case of rape,",332,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2004,3,"3. The law should permit abortion for reasons other than",185,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2004,4,"4. By law, a woman should always be able to obtain an",391,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2004,9,"9. DK; other",14,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2008,0,"0. NA; no Post IW; version NEW (2008)",1283,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2008,1,"1. By law, abortion should never be permitted",160,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2008,2,"2. The law should permit abortion only in case of rape,",296,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2008,3,"3. The law should permit abortion for reasons other than",160,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2008,4,"4. By law, a woman should always be able to obtain an",415,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2008,9,"9. DK; other",8,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2012,0,"0. NA; no Post IW; version NEW (2008)",33,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2012,1,"1. By law, abortion should never be permitted",672,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2012,2,"2. The law should permit abortion only in case of rape,",1607,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2012,3,"3. The law should permit abortion for reasons other than",898,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2012,4,"4. By law, a woman should always be able to obtain an",2678,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2012,9,"9. DK; other",26,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2016,0,"0. NA; no Post IW; version NEW (2008)",48,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2016,1,"1. By law, abortion should never be permitted",544,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2016,2,"2. The law should permit abortion only in case of rape,",1115,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2016,3,"3. The law should permit abortion for reasons other than",616,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2016,4,"4. By law, a woman should always be able to obtain an",1932,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2016,9,"9. DK; other",15,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2020,0,"0. NA; no Post IW; version NEW (2008)",71,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2020,1,"1. By law, abortion should never be permitted",870,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2020,2,"2. The law should permit abortion only in case of rape,",1916,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2020,3,"3. The law should permit abortion for reasons other than",1097,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2020,4,"4. By law, a woman should always be able to obtain an",4017,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2020,9,"9. DK; other",309,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2024,0,"0. NA; no Post IW; version NEW (2008)",276,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2024,1,"1. By law, abortion should never be permitted",293,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2024,2,"2. The law should permit abortion only in case of rape,",1166,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2024,3,"3. The law should permit abortion for reasons other than",1059,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2024,4,"4. By law, a woman should always be able to obtain an",2503,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0838",2024,9,"9. DK; other",224,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2004,1,"1. Government should provide many fewer services: reduce",50,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2004,2,"UNLABELLED_IN_DTA",71,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2004,3,"UNLABELLED_IN_DTA",124,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2004,4,"UNLABELLED_IN_DTA",284,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2004,5,"UNLABELLED_IN_DTA",243,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2004,6,"UNLABELLED_IN_DTA",145,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2004,7,"7. Government should provide many more services: increase",143,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2004,9,"9. DK; haven't thought much about it",152,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,0,"0. NA; version NEW (2008); telephone IW (2000)",1169,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,1,"1. Government should provide many fewer services: reduce",53,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,2,"UNLABELLED_IN_DTA",59,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,3,"UNLABELLED_IN_DTA",94,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,4,"UNLABELLED_IN_DTA",231,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,5,"UNLABELLED_IN_DTA",207,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,6,"UNLABELLED_IN_DTA",135,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,7,"7. Government should provide many more services: increase",174,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2008,9,"9. DK; haven't thought much about it",200,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,0,"0. NA; version NEW (2008); telephone IW (2000)",4,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,1,"1. Government should provide many fewer services: reduce",449,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,2,"UNLABELLED_IN_DTA",729,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,3,"UNLABELLED_IN_DTA",874,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,4,"UNLABELLED_IN_DTA",1362,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,5,"UNLABELLED_IN_DTA",976,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,6,"UNLABELLED_IN_DTA",461,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,7,"7. Government should provide many more services: increase",390,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2012,9,"9. DK; haven't thought much about it",669,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2016,0,"0. NA; version NEW (2008); telephone IW (2000)",13,"OUTSIDE_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2016,1,"1. Government should provide many fewer services: reduce",378,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
"VCF0839",2016,2,"UNLABELLED_IN_DTA",445,"IN_SPECIFIED_SUBSTANTIVE_SCALE"
