"artifact_path","artifact_role","exists_at_manifest_creation","bytes","sha256","notes"
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_SUMMARY.csv","diagnostic_output","TRUE","599","456A5648C2B7C2EAC6DE1D8AEFBBB63B5A2B3882F41EF33E093D16E7640520D1",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_UNIQUE.csv","diagnostic_output","TRUE","5425","07377E65651D0F93EAB0426F0F13B5FF8DB42D2E3407848AB25B65206FE1122A",""
"data/audit/D11_PAIRWISE_20260828/D11_PRE_ESTIMATION_STATUS.csv","diagnostic_output","TRUE","1465","8B2F29291E4B4A0427935133CDA7D2F0EE80373DB270CEC918120F19AE1EB2AB",""
"data/audit/D11_PAIRWISE_20260828/D11_RUN_CONFIG.csv","diagnostic_output","TRUE","1310","CA08F7F41A172D650E0D237EB6E33365BBB6BEEF3FAAE712C7501DD7DE7C3ABA",""
"data/audit/D11_PAIRWISE_20260828/D11_sessionInfo.txt","diagnostic_output","TRUE","1977","E60DD0E10999EF0BB3DA5E6730FD4C610951300E5994A9E658036B59A8237E19",""
"data/audit/D11_PAIRWISE_20260828/D11_UNIT_TEST_RESULTS.csv","diagnostic_output","TRUE","2265","1F889EE930B40748EDED099394F1C556E806FCA97C8EAB3E24E5520F7D16A001",""
"outputs/logs/D11_DIAGNOSTICS_20260828.stderr.log","stderr_and_environment_warning_log","TRUE","585","EDE3F3FE8C556399B80A8EFCA9DE577DC4005CCFC3168E9A299A30016A99B8AE",""
"outputs/logs/D11_DIAGNOSTICS_20260828.stdout.log","stdout_log","TRUE","2156","E32F310830649C82C78D39ADC48F4BA3426B613B4E3F346F740382C311030F30",""
"project_docs/working/D11_PAIRWISE_DIAGNOSTICS_REPORT_20260828.md","execution_report","TRUE","6999","93B40BD321049DE751660AA43EB986B17C1CA9843624DC131C9E5DC9D9C35FAA",""
"project_docs/working/PAIRWISE_POLYCHORIC_SENSITIVITY_SPECIFICATION.md","frozen_specification","TRUE","9409","B29C0E4F80C8C9FDA0E29EB80BCCF2F327ED1770C1ACABF98D3532B0C4A51823",""
"R/08_d11_pairwise_diagnostics_only.R","diagnostics_script","TRUE","22217","15AD55FC3E29A714E9342652EB98B21570CC7DA44D7264FB425B9AA173370401",""
"R/tests/test_08_d11_pairwise_diagnostics.R","unit_test","TRUE","10083","674AB7B1A8055746E840CFCEFD2FA36E4AC383937F9B75C72A33F2212896A3E0",""
