year,pair_index,node1,node2,pairwise_n,total_possible_cells,zero_cells,cells_1_to_4,cells_5_to_9,cells_10_plus,minimum_cell_n,maximum_cell_n,reporting_band_note
2004,1,VCF0806,VCF0809,1032,49,1,7,7,34,0,83,Descriptive bands only; not pass/fail thresholds
2004,22,VCF0839,VCF0888,1053,21,0,2,5,14,3,180,Descriptive bands only; not pass/fail thresholds
2004,23,VCF0839,VCF0890,1053,21,0,3,2,16,1,210,Descriptive bands only; not pass/fail thresholds
2004,24,VCF0839,VCF0894,1046,21,0,1,2,18,3,152,Descriptive bands only; not pass/fail thresholds
2004,25,VCF0839,VCF0879a,924,21,0,0,3,18,5,120,Descriptive bands only; not pass/fail thresholds
2004,26,VCF0839,VCF9223,936,28,0,0,1,27,7,110,Descriptive bands only; not pass/fail thresholds
2004,27,VCF0888,VCF0890,1191,9,0,0,2,7,6,661,Descriptive bands only; not pass/fail thresholds
2004,28,VCF0888,VCF0894,1185,9,0,0,1,8,7,342,Descriptive bands only; not pass/fail thresholds
2004,29,VCF0888,VCF0879a,1037,9,0,1,0,8,4,347,Descriptive bands only; not pass/fail thresholds
2004,30,VCF0888,VCF9223,1050,12,0,1,1,10,3,266,Descriptive bands only; not pass/fail thresholds
2004,31,VCF0890,VCF0894,1184,9,0,1,1,7,3,390,Descriptive bands only; not pass/fail thresholds
2004,32,VCF0890,VCF0879a,1040,9,0,0,1,8,7,357,Descriptive bands only; not pass/fail thresholds
2004,33,VCF0890,VCF9223,1053,12,0,1,1,10,4,321,Descriptive bands only; not pass/fail thresholds
2004,34,VCF0894,VCF0879a,1032,9,0,0,0,9,28,244,Descriptive bands only; not pass/fail thresholds
2004,35,VCF0894,VCF9223,1043,12,0,0,0,12,34,211,Descriptive bands only; not pass/fail thresholds
2004,36,VCF0879a,VCF9223,1043,12,0,1,0,11,4,229,Descriptive bands only; not pass/fail thresholds
2012,1,VCF0806,VCF0809,5177,49,0,0,0,49,17,399,Descriptive bands only; not pass/fail thresholds
2012,2,VCF0806,VCF0838,5428,28,0,0,0,28,44,519,Descriptive bands only; not pass/fail thresholds
2012,3,VCF0806,VCF0839,4994,49,0,1,2,46,4,425,Descriptive bands only; not pass/fail thresholds
2012,4,VCF0806,VCF0888,5432,21,0,0,0,21,30,598,Descriptive bands only; not pass/fail thresholds
2012,5,VCF0806,VCF0890,5448,21,0,0,0,21,21,726,Descriptive bands only; not pass/fail thresholds
2012,6,VCF0806,VCF0894,5424,21,0,0,0,21,40,551,Descriptive bands only; not pass/fail thresholds
2012,7,VCF0806,VCF0879a,5012,21,0,0,0,21,68,459,Descriptive bands only; not pass/fail thresholds
2012,8,VCF0806,VCF9223,5069,28,0,0,0,28,76,447,Descriptive bands only; not pass/fail thresholds
2012,9,VCF0809,VCF0838,5430,28,0,0,0,28,48,661,Descriptive bands only; not pass/fail thresholds
2012,10,VCF0809,VCF0839,4991,49,0,0,2,47,8,467,Descriptive bands only; not pass/fail thresholds
2012,11,VCF0809,VCF0888,5438,21,0,0,0,21,40,684,Descriptive bands only; not pass/fail thresholds
2012,12,VCF0809,VCF0890,5455,21,0,0,0,21,16,864,Descriptive bands only; not pass/fail thresholds
2012,13,VCF0809,VCF0894,5423,21,0,0,0,21,38,680,Descriptive bands only; not pass/fail thresholds
2012,14,VCF0809,VCF0879a,5027,21,0,0,0,21,74,548,Descriptive bands only; not pass/fail thresholds
2012,15,VCF0809,VCF9223,5074,28,0,0,0,28,77,563,Descriptive bands only; not pass/fail thresholds
2012,16,VCF0838,VCF0839,5200,28,0,0,0,28,30,670,Descriptive bands only; not pass/fail thresholds
2012,17,VCF0838,VCF0888,5816,12,0,0,0,12,57,1347,Descriptive bands only; not pass/fail thresholds
2012,18,VCF0838,VCF0890,5833,12,0,0,0,12,97,1915,Descriptive bands only; not pass/fail thresholds
2012,19,VCF0838,VCF0894,5803,12,0,0,0,12,108,1211,Descriptive bands only; not pass/fail thresholds
2012,20,VCF0838,VCF0879a,5355,12,0,0,0,12,80,1115,Descriptive bands only; not pass/fail thresholds
2012,21,VCF0838,VCF9223,5412,16,0,0,0,16,89,1083,Descriptive bands only; not pass/fail thresholds
2012,22,VCF0839,VCF0888,5205,21,0,0,0,21,39,759,Descriptive bands only; not pass/fail thresholds
2012,23,VCF0839,VCF0890,5221,21,0,0,0,21,10,925,Descriptive bands only; not pass/fail thresholds
2012,24,VCF0839,VCF0894,5192,21,0,0,0,21,10,751,Descriptive bands only; not pass/fail thresholds
2012,25,VCF0839,VCF0879a,4822,21,0,0,0,21,53,578,Descriptive bands only; not pass/fail thresholds
2012,26,VCF0839,VCF9223,4864,28,0,0,0,28,53,601,Descriptive bands only; not pass/fail thresholds
2012,27,VCF0888,VCF0890,5851,9,0,0,0,9,91,2360,Descriptive bands only; not pass/fail thresholds
2012,28,VCF0888,VCF0894,5817,9,0,0,0,9,94,1260,Descriptive bands only; not pass/fail thresholds
2012,29,VCF0888,VCF0879a,5360,9,0,0,0,9,113,1369,Descriptive bands only; not pass/fail thresholds
2012,30,VCF0888,VCF9223,5415,12,0,0,0,12,72,1136,Descriptive bands only; not pass/fail thresholds
2012,31,VCF0890,VCF0894,5834,9,0,0,0,9,23,1658,Descriptive bands only; not pass/fail thresholds
2012,32,VCF0890,VCF0879a,5375,9,0,0,0,9,91,1494,Descriptive bands only; not pass/fail thresholds
2012,33,VCF0890,VCF9223,5432,12,0,0,0,12,79,1438,Descriptive bands only; not pass/fail thresholds
2012,34,VCF0894,VCF0879a,5349,9,0,0,0,9,187,1209,Descriptive bands only; not pass/fail thresholds
2012,35,VCF0894,VCF9223,5404,12,0,0,0,12,164,1033,Descriptive bands only; not pass/fail thresholds
2012,36,VCF0879a,VCF9223,5372,12,0,0,0,12,85,1253,Descriptive bands only; not pass/fail thresholds
2016,1,VCF0806,VCF0809,3500,49,0,0,2,47,8,273,Descriptive bands only; not pass/fail thresholds
2016,2,VCF0806,VCF0838,3722,28,0,0,0,28,30,414,Descriptive bands only; not pass/fail thresholds
2016,3,VCF0806,VCF0839,3367,49,0,0,2,47,6,253,Descriptive bands only; not pass/fail thresholds
2016,4,VCF0806,VCF0888,3754,21,0,0,0,21,26,503,Descriptive bands only; not pass/fail thresholds
2016,5,VCF0806,VCF0890,3752,21,0,0,1,20,5,529,Descriptive bands only; not pass/fail thresholds
2016,6,VCF0806,VCF0894,3737,21,0,0,0,21,30,490,Descriptive bands only; not pass/fail thresholds
2016,7,VCF0806,VCF0879a,3219,21,0,0,0,21,40,346,Descriptive bands only; not pass/fail thresholds
2016,8,VCF0806,VCF9223,3230,28,0,0,0,28,29,274,Descriptive bands only; not pass/fail thresholds
2016,9,VCF0809,VCF0838,3731,28,0,0,0,28,26,422,Descriptive bands only; not pass/fail thresholds
2016,10,VCF0809,VCF0839,3391,49,0,1,1,47,3,292,Descriptive bands only; not pass/fail thresholds
2016,11,VCF0809,VCF0888,3766,21,0,0,0,21,27,525,Descriptive bands only; not pass/fail thresholds
2016,12,VCF0809,VCF0890,3763,21,0,0,1,20,6,616,Descriptive bands only; not pass/fail thresholds
2016,13,VCF0809,VCF0894,3751,21,0,0,0,21,20,448,Descriptive bands only; not pass/fail thresholds
2016,14,VCF0809,VCF0879a,3235,21,0,0,0,21,27,288,Descriptive bands only; not pass/fail thresholds
2016,15,VCF0809,VCF9223,3245,28,0,0,0,28,29,302,Descriptive bands only; not pass/fail thresholds
2016,16,VCF0838,VCF0839,3585,28,0,0,0,28,24,436,Descriptive bands only; not pass/fail thresholds
2016,17,VCF0838,VCF0888,4198,12,0,0,0,12,44,1087,Descriptive bands only; not pass/fail thresholds
2016,18,VCF0838,VCF0890,4197,12,0,0,0,12,47,1482,Descriptive bands only; not pass/fail thresholds
2016,19,VCF0838,VCF0894,4179,12,0,0,0,12,87,792,Descriptive bands only; not pass/fail thresholds
2016,20,VCF0838,VCF0879a,3580,12,0,0,0,12,60,719,Descriptive bands only; not pass/fail thresholds
2016,21,VCF0838,VCF9223,3586,16,0,0,0,16,69,702,Descriptive bands only; not pass/fail thresholds
2016,22,VCF0839,VCF0888,3617,21,0,0,0,21,29,591,Descriptive bands only; not pass/fail thresholds
2016,23,VCF0839,VCF0890,3616,21,0,0,3,18,5,667,Descriptive bands only; not pass/fail thresholds
2016,24,VCF0839,VCF0894,3602,21,0,0,1,20,7,419,Descriptive bands only; not pass/fail thresholds
2016,25,VCF0839,VCF0879a,3113,21,0,0,0,21,21,339,Descriptive bands only; not pass/fail thresholds
2016,26,VCF0839,VCF9223,3124,28,0,0,0,28,28,321,Descriptive bands only; not pass/fail thresholds
2016,27,VCF0888,VCF0890,4236,9,0,0,0,9,54,1978,Descriptive bands only; not pass/fail thresholds
2016,28,VCF0888,VCF0894,4223,9,0,0,0,9,86,1349,Descriptive bands only; not pass/fail thresholds
2016,29,VCF0888,VCF0879a,3613,9,0,0,0,9,79,1129,Descriptive bands only; not pass/fail thresholds
2016,30,VCF0888,VCF9223,3620,12,0,0,0,12,33,927,Descriptive bands only; not pass/fail thresholds
2016,31,VCF0890,VCF0894,4218,9,0,0,0,9,13,1193,Descriptive bands only; not pass/fail thresholds
2016,32,VCF0890,VCF0879a,3612,9,0,0,0,9,28,1069,Descriptive bands only; not pass/fail thresholds
2016,33,VCF0890,VCF9223,3620,12,0,0,0,12,28,1012,Descriptive bands only; not pass/fail thresholds
2016,34,VCF0894,VCF0879a,3599,9,0,0,0,9,135,993,Descriptive bands only; not pass/fail thresholds
2016,35,VCF0894,VCF9223,3606,12,0,0,0,12,67,693,Descriptive bands only; not pass/fail thresholds
2016,36,VCF0879a,VCF9223,3609,12,0,0,0,12,38,702,Descriptive bands only; not pass/fail thresholds
2020,1,VCF0806,VCF0809,6862,49,0,0,0,49,13,637,Descriptive bands only; not pass/fail thresholds
2020,2,VCF0806,VCF0838,7038,28,0,0,0,28,29,1202,Descriptive bands only; not pass/fail thresholds
2020,3,VCF0806,VCF0839,6605,49,0,0,3,46,5,730,Descriptive bands only; not pass/fail thresholds
2020,4,VCF0806,VCF0888,7316,21,0,0,0,21,20,862,Descriptive bands only; not pass/fail thresholds
2020,5,VCF0806,VCF0890,7337,21,0,0,0,21,10,1426,Descriptive bands only; not pass/fail thresholds
2020,6,VCF0806,VCF0894,7318,21,0,0,0,21,62,950,Descriptive bands only; not pass/fail thresholds
2020,7,VCF0806,VCF0879a,6577,21,0,0,0,21,89,797,Descriptive bands only; not pass/fail thresholds
2020,8,VCF0806,VCF9223,6610,28,0,0,0,28,25,837,Descriptive bands only; not pass/fail thresholds
2020,9,VCF0809,VCF0838,7016,28,0,0,0,28,29,783,Descriptive bands only; not pass/fail thresholds
2020,10,VCF0809,VCF0839,6562,49,0,2,1,46,3,522,Descriptive bands only; not pass/fail thresholds
2020,11,VCF0809,VCF0888,7291,21,0,0,0,21,43,831,Descriptive bands only; not pass/fail thresholds
2020,12,VCF0809,VCF0890,7307,21,0,0,0,21,11,1038,Descriptive bands only; not pass/fail thresholds
2020,13,VCF0809,VCF0894,7289,21,0,0,0,21,58,760,Descriptive bands only; not pass/fail thresholds
2020,14,VCF0809,VCF0879a,6545,21,0,0,0,21,90,601,Descriptive bands only; not pass/fail thresholds
2020,15,VCF0809,VCF9223,6578,28,0,0,0,28,23,550,Descriptive bands only; not pass/fail thresholds
2020,16,VCF0838,VCF0839,6761,28,0,0,0,28,35,889,Descriptive bands only; not pass/fail thresholds
2020,17,VCF0838,VCF0888,7865,12,0,0,0,12,36,1734,Descriptive bands only; not pass/fail thresholds
2020,18,VCF0838,VCF0890,7885,12,0,0,0,12,79,3162,Descriptive bands only; not pass/fail thresholds
2020,19,VCF0838,VCF0894,7864,12,0,0,0,12,143,1685,Descriptive bands only; not pass/fail thresholds
2020,20,VCF0838,VCF0879a,7038,12,0,0,0,12,117,1563,Descriptive bands only; not pass/fail thresholds
2020,21,VCF0838,VCF9223,7072,16,0,0,0,16,87,1818,Descriptive bands only; not pass/fail thresholds
2020,22,VCF0839,VCF0888,7037,21,0,0,0,21,27,859,Descriptive bands only; not pass/fail thresholds
2020,23,VCF0839,VCF0890,7056,21,0,0,1,20,9,1181,Descriptive bands only; not pass/fail thresholds
2020,24,VCF0839,VCF0894,7037,21,0,0,0,21,19,849,Descriptive bands only; not pass/fail thresholds
2020,25,VCF0839,VCF0879a,6347,21,0,0,0,21,52,648,Descriptive bands only; not pass/fail thresholds
2020,26,VCF0839,VCF9223,6376,28,0,0,0,28,28,629,Descriptive bands only; not pass/fail thresholds
2020,27,VCF0888,VCF0890,8216,9,0,0,0,9,64,2984,Descriptive bands only; not pass/fail thresholds
2020,28,VCF0888,VCF0894,8192,9,0,0,0,9,134,1808,Descriptive bands only; not pass/fail thresholds
2020,29,VCF0888,VCF0879a,7317,9,0,0,0,9,88,1778,Descriptive bands only; not pass/fail thresholds
2020,30,VCF0888,VCF9223,7355,12,0,0,0,12,31,1714,Descriptive bands only; not pass/fail thresholds
2020,31,VCF0890,VCF0894,8213,9,0,0,0,9,33,2228,Descriptive bands only; not pass/fail thresholds
2020,32,VCF0890,VCF0879a,7333,9,0,0,0,9,69,2009,Descriptive bands only; not pass/fail thresholds
2020,33,VCF0890,VCF9223,7372,12,0,0,0,12,76,2152,Descriptive bands only; not pass/fail thresholds
2020,34,VCF0894,VCF0879a,7314,9,0,0,0,9,237,1543,Descriptive bands only; not pass/fail thresholds
2020,35,VCF0894,VCF9223,7351,12,0,0,0,12,103,1345,Descriptive bands only; not pass/fail thresholds
2020,36,VCF0879a,VCF9223,7341,12,0,0,0,12,57,1494,Descriptive bands only; not pass/fail thresholds
2024,1,VCF0806,VCF0809,4466,49,0,0,1,48,8,388,Descriptive bands only; not pass/fail thresholds
2024,2,VCF0806,VCF0838,4557,28,0,0,0,28,11,777,Descriptive bands only; not pass/fail thresholds
2024,3,VCF0806,VCF0839,4313,49,0,1,2,46,4,494,Descriptive bands only; not pass/fail thresholds
2024,4,VCF0806,VCF0888,4762,21,0,0,0,21,14,584,Descriptive bands only; not pass/fail thresholds
2024,5,VCF0806,VCF0890,4763,21,0,0,0,21,14,933,Descriptive bands only; not pass/fail thresholds
2024,6,VCF0806,VCF0894,4738,21,0,0,0,21,49,639,Descriptive bands only; not pass/fail thresholds
2024,7,VCF0806,VCF0879a,4287,21,0,0,0,21,52,410,Descriptive bands only; not pass/fail thresholds
2024,8,VCF0806,VCF9223,4306,28,0,0,0,28,40,550,Descriptive bands only; not pass/fail thresholds
2024,9,VCF0809,VCF0838,4521,28,0,1,0,27,4,506,Descriptive bands only; not pass/fail thresholds
2024,10,VCF0809,VCF0839,4293,49,0,1,4,44,3,355,Descriptive bands only; not pass/fail thresholds
2024,11,VCF0809,VCF0888,4725,21,0,0,0,21,22,603,Descriptive bands only; not pass/fail thresholds
2024,12,VCF0809,VCF0890,4729,21,0,0,1,20,8,716,Descriptive bands only; not pass/fail thresholds
2024,13,VCF0809,VCF0894,4711,21,0,0,0,21,40,455,Descriptive bands only; not pass/fail thresholds
2024,14,VCF0809,VCF0879a,4257,21,0,0,0,21,65,378,Descriptive bands only; not pass/fail thresholds
2024,15,VCF0809,VCF9223,4278,28,0,0,0,28,27,339,Descriptive bands only; not pass/fail thresholds
2024,16,VCF0838,VCF0839,4348,28,0,0,0,28,15,635,Descriptive bands only; not pass/fail thresholds
2024,17,VCF0838,VCF0888,5004,12,0,0,0,12,18,1395,Descriptive bands only; not pass/fail thresholds
2024,18,VCF0838,VCF0890,5007,12,0,0,0,12,61,2009,Descriptive bands only; not pass/fail thresholds
2024,19,VCF0838,VCF0894,4986,12,0,0,0,12,64,1142,Descriptive bands only; not pass/fail thresholds
2024,20,VCF0838,VCF0879a,4485,12,0,0,0,12,31,997,Descriptive bands only; not pass/fail thresholds
2024,21,VCF0838,VCF9223,4504,16,0,0,0,16,36,1179,Descriptive bands only; not pass/fail thresholds
2024,22,VCF0839,VCF0888,4556,21,0,0,0,21,17,642,Descriptive bands only; not pass/fail thresholds
2024,23,VCF0839,VCF0890,4559,21,0,0,2,19,6,805,Descriptive bands only; not pass/fail thresholds
2024,24,VCF0839,VCF0894,4544,21,0,0,0,21,17,581,Descriptive bands only; not pass/fail thresholds
2024,25,VCF0839,VCF0879a,4271,21,0,0,0,21,41,434,Descriptive bands only; not pass/fail thresholds
2024,26,VCF0839,VCF9223,4135,28,0,0,0,28,24,425,Descriptive bands only; not pass/fail thresholds
2024,27,VCF0888,VCF0890,5235,9,0,0,0,9,29,2340,Descriptive bands only; not pass/fail thresholds
2024,28,VCF0888,VCF0894,5209,9,0,0,0,9,50,1296,Descriptive bands only; not pass/fail thresholds
2024,29,VCF0888,VCF0879a,4685,9,0,0,0,9,82,1514,Descriptive bands only; not pass/fail thresholds
2024,30,VCF0888,VCF9223,4704,12,0,0,0,12,33,1046,Descriptive bands only; not pass/fail thresholds
2024,31,VCF0890,VCF0894,5212,9,0,0,0,9,28,1505,Descriptive bands only; not pass/fail thresholds
2024,32,VCF0890,VCF0879a,4685,9,0,0,0,9,49,1318,Descriptive bands only; not pass/fail thresholds
2024,33,VCF0890,VCF9223,4705,12,0,0,0,12,45,1373,Descriptive bands only; not pass/fail thresholds
2024,34,VCF0894,VCF0879a,4669,9,0,0,0,9,158,839,Descriptive bands only; not pass/fail thresholds
2024,35,VCF0894,VCF9223,4686,12,0,0,0,12,126,812,Descriptive bands only; not pass/fail thresholds
2024,36,VCF0879a,VCF9223,4697,12,0,0,0,12,93,841,Descriptive bands only; not pass/fail thresholds
